"","campus","method","year","month","day","site","zone","transect","ANEM","BARROC","BARSAN","BEDRK","BOULD","BRANCH","BROWN","BRYO","COB","CORCAL","CRUCOR","DESSPP","ERECOR","FLATREL","GREEN","HIREL","HYDROID","MACPYRHF","MODREL","PHRCAL","PHYSPP","SAND","SCSB99RED","SHELL","SLTREL","SOLTUN","SPONGE","THYPET","TUBEWORM","BARNAC","CLAM","DIOCHA","CUCSPP","EGRMEN","MUD","DICTYOTALES","COMTUN","DODFEW","DICSPP","BUSHY00","CUPCOR","LAMHOLD","LEAFY","SALTRI","SB00RED","SCUM","STEOSM","SARSPP","PACRUB","SC00RED","ENCRED","LACY","TURF","UNDLAMFAR","BUSHY","TUBEMAT","STYCAL","AGLSTR","DIACAL","DEADHOLD","SCALLOP","THYSQU","UNDBRIT","UNDPAC","OCTOCORAL","PETMON","UNDDET","GORGAD","ERECTRED","MUSSEL","STYPAP","SARHOR","SARMUT","HETPAC","UNDJUVLAM","WATSUB","NERHOLD","TUBECOL","DODSPP","UNDHAL","TUBAMP","UNID","GERRUB","CAPMAT","PHORON","UNDNEOFIM","SARPAL"
"1","UCSB","SBTL_UPC_PISCO",1999,9,30,"ANACAPA_ADMIRALS_E","INNER","1",3,3,4,88,0,4,2,8,2,1,27,8,0,0,0,21,2,1,22,0,0,0,9,0,47,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","UCSB","SBTL_UPC_PISCO",1999,9,30,"ANACAPA_ADMIRALS_E","INNER","2",1,1,22,59,0,0,2,11,0,0,3,0,22,6,0,0,1,2,33,0,12,31,7,0,51,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","UCSB","SBTL_UPC_PISCO",1999,9,30,"ANACAPA_ADMIRALS_E","INNER","3",1,9,8,47,16,0,6,5,14,0,8,0,28,3,0,0,1,2,14,1,0,13,0,1,73,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","UCSB","SBTL_UPC_PISCO",1999,9,30,"ANACAPA_ADMIRALS_E","INNER","5",1,0,35,76,0,0,0,5,0,1,2,0,13,0,1,17,1,19,43,0,0,14,9,0,30,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","UCSB","SBTL_UPC_PISCO",1999,9,30,"ANACAPA_ADMIRALS_E","INNER","6",1,3,26,69,0,0,10,12,0,0,0,0,15,19,0,0,0,7,8,2,7,21,0,0,68,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","UCSB","SBTL_UPC_PISCO",1999,9,30,"ANACAPA_ADMIRALS_E","INNER","7",1,12,3,90,0,0,1,0,0,2,27,0,4,0,0,0,0,0,0,0,0,0,22,0,90,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","UCSB","SBTL_UPC_PISCO",1999,9,30,"ANACAPA_ADMIRALS_E","INNER","8",3,6,23,84,0,0,17,3,0,0,5,0,10,9,0,0,0,3,0,1,9,6,0,0,81,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","UCSB","SBTL_UPC_PISCO",1999,9,30,"ANACAPA_ADMIRALS_E","MID","2",1,8,19,90,0,0,1,16,0,2,6,0,20,0,0,2,1,3,16,0,0,0,4,0,72,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","UCSB","SBTL_UPC_PISCO",1999,9,30,"ANACAPA_ADMIRALS_E","INNER","4",0,14,25,49,4,0,18,12,12,0,0,0,11,11,0,0,1,1,6,5,0,25,0,0,73,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","UCSB","SBTL_UPC_PISCO",1999,9,30,"ANACAPA_ADMIRALS_E","MID","1",0,14,22,10,80,0,0,1,0,0,30,0,10,0,0,0,1,0,28,0,0,0,3,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
